구군명,노인교실명,도로명주소,전화번호,경도,위도,데이터기준일자
서구,노인건강학교,서구 구덕로250번길 6,051-256-0734,129.0206767,35.10677410,2021-08-31
서구,소문노인대학,구덕로186번길 9,051-256-2301,129.0202487,35.10148646,2021-08-31
서구,한마음노인대학,서구 망양로193번길 104,051-253-1922,129.0263591,35.11117899,2021-08-31
서구,해강노인교실,서구 해돋이로 67,051-248-6321,129.0202317,35.08517116,2021-08-31
동구,범일노인대학,동구 범곡로 9(범일동),051-646-5979,129.0557315,35.13886974,2021-08-31
동구,인창실버예술대학,동구 고관로 36(초량동),051-466-5353,129.0430574,35.12255616,2021-08-31
동구,비둘기노인대학,동구 성남로 37(좌천동),051-635-5734,127.4635173,36.33162494,2021-08-31
동구,자성대노인복지관 노인교실,동구 자성로140번길 32(범일동,051-632-7597,129.0648411,35.13564405,2021-08-31
동구,동구종합사회복지관 오색빛깔실버대학,동구 안창로 57(범일동),051-633-3367,129.0424303,35.14562834,2021-08-31
동구,보성노인대학(장기휴지),동구 중앙대로길 231(초량동),051-467-6477,127.4635173,36.33162494,2021-08-31
영도구,대한노인회 영도구지회 부설노인대학,영도구 절영로29번길 14(대교동2가),051-417-4888,129.0400929,35.09133006,2021-08-31
영도구,동삼사회복지관 노인교실,"영도구 상리로 30(동삼동, 동삼종합사회복지관)",051-405-2133,129.0668355,35.08332730,2021-08-31
영도구,영도중앙 늘푸른대학,영도구 남항서로70번길 76(남항동),051-415-2241,129.0388127,35.08551797,2021-08-31
영도구,상리노인교실,영도구 상리로 63-16(동삼동),051-404-5061,129.0707765,35.08616799,2021-08-31
영도구,영도구종합사회복지관 부설노인교실,영도구 산정길 138(신선동3가),051-413-4661,129.0475086,35.08121547,2021-08-31
영도구,와치노인교실,영도구 함지로79번길 76(동삼동),051-418-8544,129.0655229,35.07600143,2021-08-31
영도구,절영은빛대학노인교실,영도구 함지로 33-10(동삼동),051-403-4200,129.0617457,35.07221265,2021-08-31
영도구,부산제4영도교회노인교실,영도구 봉래쉼터길 47(봉래동 5가),051-404-5530,129.0526421,35.09412413,2021-08-31
영도구,청학2동 새마을금고 노인교실,영도구 태종로 361(청학동),051-412-4466,129.0645928,35.09468668,2021-08-31
영도구,빛과진리 노인교실,영도구 한사랑길 63(영선동1가),051-415-4501,129.0440205,35.08972781,2021-08-31
영도구,제일영도교회 노인대학,영도구 영봉길 110(신선동1가),051-415-6351,129.0454073,35.09097781,2021-08-31
영도구,모세노인대학,영도구 영상길 3,051-416-1950,129.0431862,35.08536319,2021-08-31
부산진구,부산진시니어대학,부산진구 서전로68번길43-1(전포동),051-415-3921,129.0675202,35.15591984,2021-08-31
부산진구,대한노인회 부산광역시연합회 직할노인대학,"부산진구 중앙대로 852(전포동,부산노인회관)",051-805-9411,129.0671142,35.16683026,2021-08-31
부산진구,신고려노인대학,부산진구 신암로 90(범천동),,129.0532658,35.14933839,2021-08-31
부산진구,초예노인대학,부산진구 월드컵대로449번길 44-6(초읍동),,129.0505082,35.18149702,2021-08-31
부산진구,사랑방노인대학,부산진구 복지로 118-1(개금동),051-808-2821,129.0188640,35.14262009,2021-08-31
부산진구,관음노인대학,부산진구 백양관문로77번길 140(개금동),051-893-0035,129.0249942,35.16412973,2021-08-31
부산진구,항도노년평생대학,부산진구 대학로61번길 3(가야동),051-893-5034,129.0349497,35.15025362,2021-08-31
부산진구,학나래노인대학,부산진구 당감서로 16(당감동),051-898-3600,129.0366066,35.16232715,2021-08-31
부산진구,한국문화대학,부산진구 중앙대로 978(양정동),051-896-2320,129.0743772,35.17654605,2021-08-31
부산진구,전포은빛대학,부산진구 전포대로190번길 35(전포동),051-853-2739,129.0675343,35.15363919,2021-08-31
부산진구,늘푸른대학,부산진구 진남로 536(양정동),051-802-6383,129.0732736,35.17110244,2021-08-31
부산진구,남도실버대학,부산진구 백양대로60번길 21(당감동),051-852-0685,129.0423390,35.16339562,2021-08-31
부산진구,아름다운노인대학,부산진구 백양순환로110번길 41(부암동),051-897-0151,129.0397354,35.16839372,2021-08-31
부산진구,가야성심대학,부산진구 가야공원로 7(가야동),051-817-0215,129.0300558,35.15293647,2021-08-31
부산진구,백양로노인대학,부산진구 동평로 12(당감동),051-891-5655,129.0315897,35.16401057,2021-08-31
부산진구,부산평생노인교육대학,부산진구 전포대로298번길 31(전포동),051-898-3741,129.0672557,35.16338570,2021-08-31
부산진구,부산진구지회부설노인대학,부산진구 백양순환로110번길 5(부암동),051-805-5172,129.0393689,35.16978502,2021-08-31
부산진구,경화서원 노인교실,부산진구 중앙대로 939(양정동) ,051-865-3240,129.0715973,35.17385753,2021-08-31
동래구,사직대건대학,동래구 아시아드대로164번길 28(사직동 411-3),051-864-9118,129.0666931,35.19925692,2021-08-31
동래구,동부삼일경로대학,동래구 여고북로123번길 68(온천동),051-501-5986,129.0710050,35.20397813,2021-08-31
동래구,동래중앙 늘푸른대학,동래구 충렬대로202번가길 24(수안동),051-506-0131,129.0826533,35.20122433,2021-08-31
동래구,온천노인대학,동래구 금강로73번길 5(온천동),051-558-1191,129.0771239,35.21574993,2021-08-31
동래구,사직경로대학,동래구 사직북로34번길 59(사직동),051-555-1205,129.0624411,35.20077263,2021-08-31
동래구,대한노인회 동래구지회 부설 노인대학,동래구 충렬대로238번 가길 5호(수안동),051-502-4703,129.0854783,35.20060409,2021-08-31
동래구,온천중앙실버대학,동래구 금강로123번길 19(온천동),051-558-2666,129.0788819,35.21994371,2021-08-31
동래구,모이세 노인대학,동래구 미남로 88-2(온천동),051-553-7991,129.0697138,35.20182623,2021-08-31
동래구,동래종합사회복지관 노인교실,동래구 신실로107번길151(명륜동),051-506-0213,129.0872326,35.20368909,2021-08-31
동래구,온천제일경로대학(휴지),동래구 금강로145번길 32(온천동),051-531-2460,129.0872326,35.20368909,2021-08-31
동래구,사직종합사회복지관 노인교실,동래구 사직북로 77(사직동),051-553-7974,129.0606792,35.19618201,2021-08-31
동래구,동래 시니어교실,동래구 명륜로207번길 18(명륜동),051-506-5757,129.0819668,35.21238058,2021-08-31
동래구,모심 경로대학,동래구 명륜로112번길 38(수안동),051-554-6252,129.0849387,35.20297055,2021-08-31
남구,남구종합복지관 부설노인교실,남구 동제당로 258(우암동),051-555-2295,129.0749124,35.12717204,2021-08-31
남구,감만종합사회복지관 부설 예그리나노인대학,남구 우암로 84-1(감만동),051-634-3415,129.0813474,35.11847034,2021-08-31
남구,부산문현노인대학,남구 장고개로 79(문현동),051-607-6979,129.0698979,35.13216514,2021-08-31
남구,용호노인대학,남구 이기대공원로 7(용호동),051-628-6737,129.1134862,35.12456084,2021-08-31
남구,대한노인회 부산남구지회 부설노인대학,남구 용호로 201-1(용호동),051-642-9946,129.1112496,35.11418833,2021-08-31
남구,감만경로대학,남구 우암로61번길 21(감만동),051-637-4818,129.0799629,35.11581456,2021-08-31
남구,문현상록대학,남구 고동골로4번길 7-18(문현동),051-607-6659,129.0716881,35.13814357,2021-08-31
남구,부산남구효도대학,남구 수영로 345(용호동),051-642-1515,129.1038533,35.13998175,2021-08-31
남구,기러기노인대학,남구 수영로39번길 35(문현동),051-626-8291,129.0721874,35.13856281,2021-08-31
남구,참사랑노인대학,남구 동명로1011번길 81(용호동),051-622-0635,129.0878494,35.12562324,2021-08-31
남구,안토니오청춘대학,남구 수영로266번길 51(대연동),051-637-3581,129.0981063,35.13449948,2021-08-31
남구,한얼노인대학,남구 고동골로69번 가길 54(문현동),051-621-2969,129.0713202,35.14607008,2021-08-31
남구,한솔성경노인대학,남구 석포로73번길 57(대연동),051-365-2211,129.0874881,35.12733012,2021-08-31
북구,금곡자연노인대학,북구 효열로144번길(금곡동),051-347-3488,129.3812612,35.60541786,2021-08-31
북구,인덕경로대학,북구 금곡대로470번길 31(금곡동),,129.0128441,35.25165790,2021-08-31
북구,덕성노인대학,북구 의성로115번길 7(덕천동),051-342-8206,129.3812612,35.60541786,2021-08-31
북구,늘푸른노인교실,북구 만덕대로115번길 86-9 (덕천1동),051-361-0045,129.0171995,35.22473299,2021-08-31
북구,동원경로대학,북구 금곡대로616번길10-9(화명동),051-338-2233,129.0151995,35.25988579,2021-08-31
북구,화명노인대학,북구 금곡대로199번길21(화명동),051-332-8004,129.0097775,35.22680531,2021-08-31
북구,만덕로뎀노인대학,북구 함박봉로140번길 102(만덕동),051-362-0111,129.3812612,35.60541786,2021-08-31
북구,화정노인대학,북구 효열로 76-1번길(금곡동),051-331-4674,129.3812612,35.60541786,2021-08-31
북구,덕천복지관노인대학,북구 덕천로74번길(덕천동),051-338-9100,129.0171995,35.22473299,2021-08-31
북구,덕천노인대학,북구 만덕대로 56(덕천동),051-331-5521,129.0112202,35.21118120,2021-08-31
북구,청운노인대학,북구 금곡대로20번길14(덕천2동),051-331-6781,129.0055383,35.21177844,2021-08-31
북구,구포시온성교회 노인교실,북구 박동대로1762번길105(구포동),051-341-0191,129.3812612,35.60541786,2021-08-31
북구,북성노인대학,북구 효열로219번길 21(금곡동),051-343-6270,129.3812612,35.60541786,2021-08-31
북구,만덕성당부설 명도노인대학,북구 덕천로247번길39(만덕동),051-361-3640,129.0315113,35.21247905,2021-08-31
북구,화명중앙교회 노인대학,북구 금곡대로92번길 51(덕천동),051-363-2063,129.0081335,35.21913019,2021-08-31
북구,공창복지관부설 노인대학,북구 효열로268번길(금곡동),051-362-5508,129.3812612,35.60541786,2021-08-31
북구,성문노인교실,북구 금곡대로550번길 20(덕천동),051-337-5959,129.0128478,35.25636309,2021-08-31
북구,실버벨노인대학,북구 시랑로114번길 45(구포동),051-364-1177,129.3812612,35.60541786,2021-08-31
북구,뇌청춘 노인교실,북구 금곡대로 320(화명동),051-542-9916,129.0141974,35.23680976,2021-08-31
해운대구,반송노인학교,해운대구 아랫반송로40번길 37-18,051-529-0005,129.1478001,35.22254500,2021-08-31
해운대구,영진종합사회복지관 장수대학,해운대구 반여로165번길(반여동),051-782-5552,129.1538555,35.19174143,2021-08-31
해운대구,평생교육 해운대 노인교실,해운대구 재반로241번길 17(반여동),051-782-5005,129.1302789,35.19873342,2021-08-31
해운대구,해운대종합사회복지관 인천노인대학,해운대구 재반로12번길 16(재송동),051-781-0950,129.1275334,35.17966779,2021-08-31
해운대구,면류관노인대학,해운대구 재반로112번길 10(재송동),051-544-6178,129.1274995,35.18833039,2021-08-31
해운대구,반송복지관 노인교실,해운대구 아랫반송로5번길 86(반송동),051-545-0115,129.1476193,35.22763948,2021-08-31
해운대구,파랑새어르신대학,해운대구 신반송로 21(반송동),051-543-5551,129.1585247,35.22898668,2021-08-31
해운대구,송우노인교실,해운대구 반송로924번길 8(반송동),051-543-5717,129.1550004,35.23222028,2021-08-31
해운대구,반여노인대학,해운대구 선수촌로 89(반여동),051-747-4711,129.1190612,35.20150583,2021-08-31
해운대구,우동성당부설청담대학,해운대구 해운대로483번길 23(우동),051-746-5881,129.1473526,35.16503227,2021-08-31
해운대구,해성노인대학,해운대구 중동2로 20-3(중동),051-701-9192,129.1645481,35.16391252,2021-08-31
해운대구,운화노인대학,해운대구 좌동순환로299번길 27(좌동),051-782-2854,129.1862213,35.16957896,2021-08-31
해운대구,반여복지관 노인대학,해운대구 재반로226번길 13-73(반여동),051-784-0552,129.1317900,35.19842183,2021-08-31
해운대구,한사랑노인대학,해운대구 좌동순환로 414(중동),051-742-8680,129.1752248,35.16215075,2021-08-31
해운대구,반석종합복지관 반석노인교실,해운대구 신반송로 159(반송동),051-542-0196,129.1625165,35.22850669,2021-08-31
해운대구,장산성당 은파노인교실,해운대구 반여로155번가길 20(반여동),051-527-8677,129.1255664,35.20577208,2021-08-31
해운대구,푸른솔 노인교실,해운대구 좌동순환로8번길 59(중동),051-731-1900,129.1700013,35.16912397,2021-08-31
해운대구,온누리시니어 아카데미,해운대구 대천로 98(좌동),051-702-0101,129.1731996,35.17397847,2021-08-31
해운대구,해운대행복대학,해운대구 우동1로 36(우동),051-741-4041,129.1573900,35.16458513,2021-08-31
사하구,대한노인회 사하구지회 사하노인문화교실,사하구 하신번영로 155(신평동),051-202-8810,128.9600056,35.09639944,2021-08-31
사하구,두송종합사회복지관 두송노인대학,사하구 다송로 59(다대동),051-265-9471,128.9854730,35.06274344,2021-08-31
사하구,부산감천청춘복지노인교실,사하구 옥천로 12(감천동),051-205-0708,129.0055561,35.08851194,2021-08-31
사하구,사하구종합사회복지관 사하복지노인교실,사하구 감내2로 21(감천동),051-293-2688,129.0077021,35.09446142,2021-08-31
사하구,몰운대종합사회복지관 내원장수대학,사하구 다대낙조2길 17(다대동),051-264-9033,128.9635537,35.05122843,2021-08-31
사하구,삼풍노인교실,"사하구 사하로 157(괴정동, 괴정삼풍아파트)",051-206-9763,128.9934067,35.09586857,2021-08-31
사하구,구평종합사회복지관 구평노인대학,사하구 을숙도대로 744(구평동),051-263-3045,128.9867137,35.08563822,2021-08-31
사하구,사랑나눔 노인교실,사하구 괴정로270번길34,051-292-2353,128.9896081,35.09554813,2021-08-31
금정구,들국화 노인대학,금정구 서금로 91-5(금사동),051-523-0209,129.1096219,35.22201808,2021-08-31
금정구,금정종합사회복지관 노인대학,금정구 반송로490번길 47(금사동),051-532-0115,129.1183632,35.21465440,2021-08-31
금정구,동부경로대학,금정구 서곡로 27-2(서동),051-529-9018,129.1042057,35.21709206,2021-08-31
금정구,서동성당 해맑음 노인대학,금정구 서부로10번길 21(서동),051-525-3744,129.1050716,35.21614671,2021-08-31
금정구,부곡중앙경로대학,금정구 동부곡로15번길 3(부곡동),051-516-1007,129.0931859,35.22586348,2021-08-31
금정구,금정성당 부설 금샘대학,금정구 수림로45번길 36(장전동),051-581-4008,129.0871348,35.23832103,2021-08-31
금정구,소정실버대학,금정구 중앙대로1531번길 20(장전동),051-582-2483,129.0860326,35.22241257,2021-08-31
금정구,이삭푸른장수대학,금정구 금단로 94(구서동),051-513-2772,129.0937146,35.25783956,2021-08-31
금정구,금정구 노인복지관 노인교실,금정구 청룡예전로 110(청룡동),051-582-2483,129.0847903,35.27917441,2021-08-31
금정구,남광종합사회복지관 노인대학,금정구 중앙대로2349번길 3(노포동),051-508-1997,129.1000092,35.29339563,2021-08-31
금정구,이웃나눔회 노인대학,금정구 개좌로 8(금사동),051-523-5255,129.1092136,35.21462151,2021-08-31
금정구,대한노인회 금정구지회 부설 노인대학,금정구 장전온천로113번길 12(장전동),051-582-5484,129.0967741,35.25165544,2021-08-31
금정구,행복나눔노인대학,금정구 명서로45번길 11,051-527-4132,129.0958124,35.21614986,2021-08-31
강서구,강서 노인대학,강서구 체육공원로 39 ,051-973-7767,126.8223516,37.55809260,2021-08-31
강서구,녹산 노인대학,"강서구 미음국제3로 16, 2층",051-271-0560,128.8736907,35.14473802,2021-08-31
강서구,은빛노인대학,강서구 순아강변길 5,051-972-1666,126.8223516,37.55809260,2021-08-31
강서구,천성 한글교실,강서구 가덕해안로773번길 64 ,051-972-7843,126.8223516,37.55809260,2021-08-31
강서구,명성 실버대학,강서구 명지국제5로 4(명지동),051-970-4852,128.9198408,35.09436760,2021-08-31
연제구,새마을노인대학,연제구 법원북로 99 (거제동) ,051-201-0030,129.0801965,35.18406588,2021-08-31
연제구,거제경로대학,연제구 아시아드대로 12(거제동),051-503-6215,129.0703486,35.18661422,2021-08-31
연제구,브니엘노인교실,연제구 중앙천로73번길 15(연산동),051-504-1242,129.0800518,35.17976756,2021-08-31
연제구,대한노인회연제구지회 부설노인대학,연제구 고분로 188(연산동),051-864-6111,129.1027986,35.18536723,2021-08-31
연제구,예성노인대학,연제구 중앙천로39번길 14 (연산동),051-752-1986,129.0819446,35.17845264,2021-08-31
연제구,연제노인교실,연제구 마곡천로 29-8(연산동),051-867-1464,129.0863417,35.16898471,2021-08-31
연제구,대한노인회부산시연합회 부설노인교실,연제구 거제천로230번길 18 (연산동),,129.0821016,35.19110671,2021-08-31
연제구,송계경로대학,연제구 중앙대로1124번길 6(연산동),051-866-5119,129.0816983,35.18801856,2021-08-31
연제구,한국종합예능복지실버대학,연제구 거제천로230번길 19 (연산동),051-852-4100,129.0823413,35.19096935,2021-08-31
연제구,문화실버대학,연제구 거제천로230번길 3 (연산동),051-863-3949,129.0821749,35.19166491,2021-08-31
연제구,연제정보화교실,연제구 중앙대로1150번길 35 (연산동),051-862-9971,129.0826107,35.19057935,2021-08-31
연제구,로사리오청춘대학,연제구 과정로164번길 41(연산동),051-852-4431,129.1099785,35.18612181,2021-08-31
연제구,대양교회노인교실,연제구 연안로13번길25(연산동),051-758-6690,129.1055992,35.18866777,2021-08-31
수영구,(사)대한노인회수영구지회 부설 늘푸른노인대학,수영구 무학로9번길 6 (광안동),051-759-9773,129.1152144,35.16193456,2021-08-31
수영구,홀트청춘대학,수영구 장대골로 20-5(광안동),051-753-5340,129.1110301,35.15935002,2021-08-31
수영구,로사노인대학,수영구 금련로43번길 54(망미동),051-760-3622,129.0986639,35.17103676,2021-08-31
수영구,하나로노인대학,수영구 망미로7번길 23(망미동),051-755-3367,129.1063216,35.17150781,2021-08-31
수영구,늘사랑노인대학,수영구 금련로43번길 48 (망미동),051-751-0944,129.0980317,35.17055575,2021-08-31
수영구,민락소피아대학,수영구 광남로 229(민락동),051-755-4501,129.1237842,35.15934941,2021-08-31
수영구,베드로대학,수영구 좌수영로 119(망미동),051-754-7150,129.1180054,35.17496988,2021-08-31
사상구,사상교회부설노인대학,사상구 운산로 71(덕포동),051-759-6070,128.9843793,35.16769406,2021-08-31
사상구,모라종합사회복지관부설 노인복지대학,사상구 모라로110번길129 (모라동),051-761-4901,128.9978728,35.18494438,2021-08-31
사상구,사상구종합사회복지관 다솜노인대학,사상구 백양대로 527(모라동),051-303-3500,128.9947789,35.15543108,2021-08-31
사상구,백양복지관부설노인교실,사상구 모라로192번길 20-23(모라동),051-304-9876,128.9858533,35.15977678,2021-08-31
사상구,대한노인회사상구지회 부설 노인대학,사상구 사상로319번길 6 (덕포동),051-314-8948,128.9836269,35.17357729,2021-08-31
사상구,학장종합사회복지관 천수어르신교실,사상구 학감대로49번길 28-70(학장동) ,051-305-4286,128.9897461,35.13865221,2021-08-31
사상구,모라교회부설 모라상록교실,사상구 모덕로95번길 101 (모라동),051-304-2160,128.9874848,35.18574175,2021-08-31
사상구,감전교회부설 감전어르신 교실,사상구 괘감로 77(괘법동),051-311-4017,128.9832169,35.15868951,2021-08-31
사상구,은혜로교회노인대학(구엄궁교회),사상구 엄궁로203번길 17 (엄궁동),051-302-9191,128.9727618,35.12964069,2021-08-31
사상구,주례교회노인교실,사상구 가야대로175번길64 (주례동),051-325-9341,128.9927801,35.15262612,2021-08-31
사상구,사상노인대학,사상구 새벽로 172 (감전동),051-313-4603,128.9835963,35.15646899,2021-08-31
기장군,기장노인대학,기장군 기장읍 대라리 37-2,051-325-8022,129.2172256,35.24265148,2021-08-31
기장군,철마노인대학,기장군 철마면 장전리 279-1,051-311-7587,129.1500920,35.27355883,2021-08-31
기장군,기장군지회 부설 노인대학,기장군 기장읍 차성동로 88-3,051-721-2719,129.2174686,35.24567762,2021-08-31
,,,,,,
,,,,,,
,,,,,,
,,,,,,
;,,,,,,
